russisch,deutsch,transkription,wortart,niveau,beispiel
ложиться,sich hinlegen,laschýtsa,Verb,A2,Я ложусь спать в одиннадцать. — Ich gehe um elf schlafen.
звать,"rufen, nennen",swat,Verb,A2,Как тебя зовут? — Wie heißt du?
пользоваться,benutzen,pólsawatsa,Verb,A2,Я пользуюсь этим словарём. — Ich benutze dieses Wörterbuch.
важный,wichtig,wáschnyj,Adjektiv,A2,Это очень важный вопрос. — Das ist eine sehr wichtige Frage.
лёгкий,"leicht, einfach",ljóchkij,Adjektiv,A2,Это лёгкое задание. — Das ist eine leichte Aufgabe.
сложный,kompliziert,slóschnyj,Adjektiv,A2,Это сложный текст. — Das ist ein komplizierter Text.
свободный,frei,swabódnyj,Adjektiv,A2,У тебя есть свободное время? — Hast du freie Zeit?
занятый,beschäftigt,sánjatyj,Adjektiv,A2,Сегодня я очень занятый. — Heute bin ich sehr beschäftigt.
довольный,zufrieden,dawólnyj,Adjektiv,A2,Начальник доволен результатом. — Der Chef ist mit dem Ergebnis zufrieden.
весёлый,"fröhlich, lustig",wissjólyj,Adjektiv,A2,Это был весёлый вечер. — Das war ein lustiger Abend.
грустный,traurig,grúsnyj,Adjektiv,A2,У неё грустный голос. — Sie hat eine traurige Stimme.
серьёзный,"ernst, seriös",sirjósnyj,Adjektiv,A2,Это серьёзная проблема. — Das ist ein ernstes Problem.
спокойный,ruhig,spakójnyj,Adjektiv,A2,Здесь очень спокойный район. — Das ist hier ein sehr ruhiges Viertel.
уверенный,"sicher, überzeugt",uwjérinnyj,Adjektiv,A2,Я в этом уверен. — Ich bin mir da sicher.
здоровый,gesund,sdaróvyj,Adjektiv,A2,Он совершенно здоровый. — Er ist völlig gesund.
больной,krank,balnój,Adjektiv,A2,Ребёнок сегодня больной. — Das Kind ist heute krank.
сильный,stark,sílnyj,Adjektiv,A2,Был сильный ветер. — Es war ein starker Wind.
слабый,schwach,slábyj,Adjektiv,A2,У меня слабый интернет. — Ich habe schwaches Internet.
чистый,sauber,tschístyj,Adjektiv,A2,В комнате чистый воздух. — Im Zimmer ist saubere Luft.
грязный,schmutzig,grjásnyj,Adjektiv,A2,Улица очень грязная. — Die Straße ist sehr schmutzig.
широкий,breit,schyrókij,Adjektiv,A2,Это широкая улица. — Das ist eine breite Straße.
узкий,"eng, schmal",úskij,Adjektiv,A2,Здесь узкий коридор. — Hier ist ein schmaler Flur.
высокий,"hoch, groß (Person)",wysókij,Adjektiv,A2,Он очень высокий. — Er ist sehr groß.
низкий,niedrig,nískij,Adjektiv,A2,Здесь низкие цены. — Hier sind die Preise niedrig.
длинный,lang,dlínnyj,Adjektiv,A2,Это был длинный день. — Das war ein langer Tag.
короткий,kurz,karótkij,Adjektiv,A2,Напиши короткое письмо. — Schreib einen kurzen Brief.
тихий,"leise, still",tíchij,Adjektiv,A2,У неё тихий голос. — Sie hat eine leise Stimme.
громкий,laut,grómkij,Adjektiv,A2,Музыка слишком громкая. — Die Musik ist zu laut.
удобный,"bequem, praktisch",udóbnyj,Adjektiv,A2,Это удобное время. — Das ist eine passende Zeit.
необходимый,notwendig,niabchadímyj,Adjektiv,A2,Это необходимый документ. — Das ist ein notwendiges Dokument.
возможный,möglich,wasmóschnyj,Adjektiv,A2,Это единственный возможный вариант. — Das ist die einzige mögliche Variante.
похожий,ähnlich,pachóschyj,Adjektiv,A2,Он похож на отца. — Er sieht seinem Vater ähnlich.
разный,verschieden,rásnyj,Adjektiv,A2,У нас разные мнения. — Wir haben verschiedene Meinungen.
одинаковый,"gleich, identisch",adinákawyj,Adjektiv,A2,У нас одинаковые сумки. — Wir haben gleiche Taschen.
следующий,nächster,sljédujuschtschij,Adjektiv,A2,На следующей неделе я свободен. — Nächste Woche bin ich frei.
прошлый,"vergangener, letzter",próschlyj,Adjektiv,A2,В прошлом году было теплее. — Letztes Jahr war es wärmer.
уже,"schon, bereits",usché,Adverb,A2,Я уже закончил. — Ich bin schon fertig.
ещё,noch,jischtschó,Adverb,A2,Он ещё работает. — Er arbeitet noch.
иногда,manchmal,inagdá,Adverb,A2,Иногда я хожу в кино. — Manchmal gehe ich ins Kino.
часто,oft,tschásta,Adverb,A2,Она часто звонит домой. — Sie ruft oft zu Hause an.
редко,selten,rjétka,Adverb,A2,Мы редко видимся. — Wir sehen uns selten.
обычно,"gewöhnlich, normalerweise",abýtschna,Adverb,A2,Обычно я встаю рано. — Normalerweise stehe ich früh auf.
вместе,zusammen,wmjéstje,Adverb,A2,Мы работаем вместе. — Wir arbeiten zusammen.
отдельно,"getrennt, separat",addjélna,Adverb,A2,Мы платим отдельно. — Wir zahlen getrennt.
особенно,besonders,asóbinna,Adverb,A2,Мне особенно нравится этот музей. — Mir gefällt besonders dieses Museum.
наверное,"wahrscheinlich, wohl",nawjérnaje,Adverb,A2,Он наверное дома. — Er ist wahrscheinlich zu Hause.
конечно,"natürlich, klar",kanjéschna,Adverb,A2,"Конечно, я помогу. — Natürlich helfe ich."
почти,fast,patschtí,Adverb,A2,Я почти готов. — Ich bin fast fertig.
слишком,"zu, allzu",slíschkam,Adverb,A2,Это слишком дорого. — Das ist zu teuer.
достаточно,"genug, ausreichend",dastátatschna,Adverb,A2,У нас достаточно времени. — Wir haben genug Zeit.
сначала,"zuerst, zunächst",snatschála,Adverb,A2,Сначала поедим. — Zuerst essen wir.
наконец,"endlich, schließlich",nakanjéts,Adverb,A2,Наконец мы приехали. — Endlich sind wir angekommen.
вдруг,plötzlich,wdruk,Adverb,A2,Вдруг пошёл дождь. — Plötzlich begann es zu regnen.
недавно,"vor kurzem, neulich",nidáwna,Adverb,A2,Он недавно переехал. — Er ist neulich umgezogen.
давно,"seit langem, lange her",dawnó,Adverb,A2,Мы давно не виделись. — Wir haben uns lange nicht gesehen.
скоро,bald,skóra,Adverb,A2,Скоро начнётся фильм. — Bald beginnt der Film.
наверх,nach oben,nawjérch,Adverb,A2,"Иди наверх, пожалуйста. — Geh bitte nach oben."
направо,nach rechts,napráwa,Adverb,A2,Поверните направо. — Biegen Sie nach rechts ab.
налево,nach links,naljéwa,Adverb,A2,Идите налево до площади. — Gehen Sie nach links bis zum Platz.
прямо,geradeaus,prjáma,Adverb,A2,"Идите прямо, потом направо. — Gehen Sie geradeaus, dann rechts."
Как вас зовут?,Wie heißen Sie?,kak was sawút,Wendung,A2,"Здравствуйте, как вас зовут? — Guten Tag, wie heißen Sie?"
Откуда вы?,Woher kommen Sie?,atkúda wy,Wendung,A2,Откуда вы приехали? — Woher sind Sie gekommen?
"Говорите медленнее, пожалуйста.",Sprechen Sie bitte langsamer.,gawarítje mjédlinnije paschálusta,Wendung,A2,"Говорите медленнее, пожалуйста, я плохо понимаю. — Sprechen Sie bitte langsamer, ich verstehe schlecht."
"Повторите, пожалуйста.",Wiederholen Sie bitte.,paftarítje paschálusta,Wendung,A2,"Извините, повторите, пожалуйста. — Entschuldigung, wiederholen Sie bitte."
Как пройти…?,Wie komme ich zu…?,kak prajtí,Wendung,A2,Как пройти к вокзалу? — Wie komme ich zum Bahnhof?
Ничего страшного!,Macht nichts!,nitschiwó stráschnawa,Wendung,A2,"Ничего страшного, бывает. — Macht nichts, das kommt vor."
К сожалению…,Leider…,k saschaljéniju,Wendung,A2,"К сожалению, я не могу прийти. — Leider kann ich nicht kommen."
На мой взгляд…,Meiner Ansicht nach…,na moj wsgljat,Wendung,A2,"На мой взгляд, это хорошая идея. — Meiner Ansicht nach ist das eine gute Idee."
Всё в порядке.,Alles in Ordnung.,fsjo f parjátkje,Wendung,A2,"Не волнуйся, всё в порядке. — Mach dir keine Sorgen, alles in Ordnung."
Мне кажется…,"Mir scheint…, ich glaube…",mnje káschitsa,Wendung,A2,"Мне кажется, он прав. — Ich glaube, er hat recht."
Приятного аппетита!,Guten Appetit!,prijátnawa apitíta,Wendung,A2,"Приятного аппетита, друзья! — Guten Appetit, Freunde!"
С днём рождения!,Herzlichen Glückwunsch zum Geburtstag!,s dnjom raschdjénija,Wendung,A2,"С днём рождения, Анна! — Herzlichen Glückwunsch zum Geburtstag, Anna!"
Добро пожаловать!,Herzlich willkommen!,dabró paschálawat,Wendung,A2,Добро пожаловать в Москву! — Herzlich willkommen in Moskau!
Удачи!,Viel Erfolg!,udátschi,Wendung,A2,Удачи на экзамене! — Viel Erfolg bei der Prüfung!
Не за что!,Keine Ursache!,nje sa schta,Wendung,A2,— Спасибо! — Не за что! — Danke! — Keine Ursache!
потому что,weil,patamú schta,Konjunktion,A2,"Я не пришёл, потому что был болен. — Ich bin nicht gekommen, weil ich krank war."
поэтому,deshalb,paétamu,Konjunktion,A2,"Идёт дождь, поэтому мы дома. — Es regnet, deshalb sind wir zu Hause."
если,"wenn, falls",jésli,Konjunktion,A2,"Если будет время, я приду. — Wenn ich Zeit habe, komme ich."
хотя,obwohl,chatjá,Konjunktion,A2,"Хотя было поздно, мы гуляли. — Obwohl es spät war, sind wir spazieren gegangen."
чтобы,"damit, um zu",schtóby,Konjunktion,A2,"Я учу русский, чтобы работать в Москве. — Ich lerne Russisch, um in Moskau zu arbeiten."
между,zwischen,mjéschdu,Präposition,A2,Магазин между банком и аптекой. — Der Laden ist zwischen Bank und Apotheke.
около,"neben, ungefähr",ókala,Präposition,A2,Мы живём около парка. — Wir wohnen neben dem Park.
через,"durch, in (zeitlich)",tschéris,Präposition,A2,Я приду через час. — Ich komme in einer Stunde.
после,nach,póslje,Präposition,A2,После работы я иду домой. — Nach der Arbeit gehe ich nach Hause.
во время,während,wa wrjémja,Präposition,A2,Во время урока нельзя говорить. — Während des Unterrichts darf man nicht sprechen.
